00GE               20131205                                                                                   
0601GEA0N       20140101002145005000010000 0000000000002724   
0601GEA0N       20140101002155005000010000 0000000000002729   
0601GEA0N       20140101002165005000010000 0000000000002734   
0601GEA0N       20140101002175005000010000 0000000000002739   
0601GEA0N       20140101002185005000010000 0000000000002744   
0601GEA0N       20140101002195005000010000 0000000000002749   
0601GEA0N       20140101002205005000010000 0000000000002754   
0601GEA0N       20140101002215005000010000 0000000000002758   
0601GEA0N       20140101002225005000010000 0000000000002763   
0601GEA0N       20140101002235005000010000 0000000000002768   
0601GEA0N       20140101002245005000010000 0000000000002772   
0601GEA0N       20140101002255005000010000 0000000000002777   
0601GEA0N       20140101002265005000010000 0000000000002782   
0601GEA0N       20140101002275005000010000 0000000000002786   
0601GEA0N       20140101002285005000010000 0000000000002790   
0601GEA0N       20140101002295005000010000 0000000000002795   
0601GEA0N       20140101002305005000010000 0000000000002799   
0601GEA0N       20140101002315005000010000 0000000000002804   
0601GEA0N       20140101002325005000010000 0000000000002808   
0601GEA0N       20140101002335005000010000 0000000000002812   
0601GEA0N       20140101002345005000010000 0000000000002816   
0601GEA0N       20140101002355005000010000 0000000000002821   
0601GEA0N       20140101002365005000010000 0000000000002825   
0601GEA0N       20140101002375005000010000 0000000000002829   
0601GEA0N       20140101002385005000010000 0000000000002833   
0601GEA0N       20140101002395005000010000 0000000000002837   
0601GEA0N       20140101002405005000010000 0000000000002841   
0601GEA0N       20140101002415005000010000 0000000000002845   
0601GEA0N       20140101002425005000010000 0000000000002849   
0601GEA0N       20140101002435005000010000 0000000000002853   
0601GEA0N       20140101002445005000010000 0000000000002857   
0601GEA0N       20140101002455005000010000 0000000000002861   
0601GEA0N       20140101002465005000010000 0000000000002865   
0601GEA0N       20140101002475005000010000 0000000000002868   
0601GEA0N       20140101002485005000010000 0000000000002872   
0601GEA0N       20140101002495005000010000 0000000000002876   
0601GEA0N       20140101002505005000010000 0000000000002880   
0601GEA0N       20140101002515005000010000 0000000000002884   
0601GEA0N       20140101002525005000010000 0000000000002887   
0601GEA0N       20140101002535005000010000 0000000000002891   
0601GEA0N       20140101002545005000010000 0000000000002895   
0601GEA0N       20140101002555005000010000 0000000000002899   
0601GEA0N       20140101002565005000010000 0000000000002902   
0601GEA0N       20140101002575005000010000 0000000000002906   
0601GEA0N       20140101002585005000010000 0000000000002910   
0601GEA0N       20140101002595005000010000 0000000000002914   
0601GEA0N       20140101002605005000010000 0000000000002918   
0601GEA0N       20140101002615005000010000 0000000000002922   
0601GEA0N       20140101002625005000010000 0000000000002925   
0601GEA0N       20140101002635005000010000 0000000000002929   
0601GEA0N       20140101002645005000010000 0000000000002932   
0601GEA0N       20140101002655005000010000 0000000000002936   
0601GEA0N       20140101002665005000010000 0000000000002940   
0601GEA0N       20140101002675005000010000 0000000000002943   
0601GEA0N       20140101002685005000010000 0000000000002946   
0601GEA0N       20140101002695005000010000 0000000000002950   
0601GEA0N       20140101002705005000010000 0000000000002954   
0601GEA0N       20140101002715005000010000 0000000000002957   
0601GEA0N       20140101002725005000010000 0000000000002961   
0601GEA0N       20140101002735005000010000 0000000000002965   
0601GEA0N       20140101002745005000010000 0000000000002968   
0601GEA0N       20140101002755005000010000 0000000000002972   
0601GEA0N       20140101002765005000010000 0000000000002976   
0601GEA0N       20140101002775005000010000 0000000000002979   
0601GEA0N       20140101002785005000010000 0000000000002983   
0601GEA0N       20140101002795005000010000 0000000000002987   
0601GEA0N       20140101002805005000010000 0000000000002990   
0601GEA0N       20140101002815005000010000 0000000000002993   
0601GEA0N       20140101002825005000010000 0000000000002997   
0601GEA0N       20140101002835005000010000 0000000000003000   
0601GEA0N       20140101002845005000010000 0000000000003004   
0601GEA0N       20140101002855005000010000 0000000000003007   
0601GEA0N       20140101002865005000010000 0000000000003010   
0601GEA0N       20140101002875005000010000 0000000000003014   
0601GEA0N       20140101002885005000010000 0000000000003017   
0601GEA0N       20140101002895005000010000 0000000000003020   
0601GEA0N       20140101002905005000010000 0000000000003024   
0601GEA0N       20140101002915005000010000 0000000000003027   
0601GEA0N       20140101002925005000010000 0000000000003030   
0601GEA0N       20140101002935005000010000 0000000000003033   
0601GEA0N       20140101002945005000010000 0000000000003036   
0601GEA0N       20140101002955005000010000 0000000000003039   
0601GEA0N       20140101002965005000010000 0000000000003043   
0601GEA0N       20140101002975005000010000 0000000000003045   
0601GEA0N       20140101002985005000010000 0000000000003049   
0601GEA0N       20140101002995005000010000 0000000000003052   
0601GEA0N       20140101003005005000010000 0000000000003055   
0601GEA0N       20140101003015005000010000 0000000000003058   
0601GEA0N       20140101003025005000010000 0000000000003061   
0601GEA0N       20140101003035005000010000 0000000000003064   
0601GEA0N       20140101003045005000010000 0000000000003067   
0601GEA0N       20140101003055005000010000 0000000000003070   
0601GEA0N       20140101003065005000010000 0000000000003073   
0601GEA0N       20140101003075005000010000 0000000000003076   
0601GEA0N       20140101003085005000010000 0000000000003079   
0601GEA0N       20140101003095005000010000 0000000000003081   
0601GEA0N       20140101003105005000010000 0000000000003084   
0601GEA0N       20140101003115005000010000 0000000000003087   
0601GEA0N       20140101003125005000010000 0000000000003090   
0601GEA0N       20140101003135005000010000 0000000000003093   
0601GEA0N       20140101003145005000010000 0000000000003096   
0601GEA0N       20140101003155005000010000 0000000000003098   
0601GEA0N       20140101003165005000010000 0000000000003101   
0601GEA0N       20140101003175005000010000 0000000000003103   
0601GEA0N       20140101003185005000010000 0000000000003106   
0601GEA0N       20140101003195005000010000 0000000000003109   
0601GEA0N       20140101003205005000010000 0000000000003111   
0601GEA0N       20140101003215005000010000 0000000000003114   
0601GEA0N       20140101003225005000010000 0000000000003117   
0601GEA0N       20140101003235005000010000 0000000000003119   
0601GEA0N       20140101003245005000010000 0000000000003122   
0601GEA0N       20140101003255005000010000 0000000000003125   
0601GEA0N       20140101003265005000010000 0000000000003127   
0601GEA0N       20140101003275005000010000 0000000000003130   
0601GEA0N       20140101003285005000010000 0000000000003133   
0601GEA0N       20140101003295005000010000 0000000000003135   
0601GEA0N       20140101003305005000010000 0000000000003137   
0601GEA0N       20140101003315005000010000 0000000000003140   
0601GEA0N       20140101003325005000010000 0000000000003142   
0601GEA0N       20140101003335005000010000 0000000000003145   
0601GEA0N       20140101003345005000010000 0000000000003148   
0601GEA0N       20140101003355005000010000 0000000000003150   
0601GEA0N       20140101003365005000010000 0000000000003152   
0601GEA0N       20140101003375005000010000 0000000000003155   
0601GEA0N       20140101003385005000010000 0000000000003157   
0601GEA0N       20140101003395005000010000 0000000000003159   
0601GEA0N       20140101003405005000010000 0000000000003162   
0601GEA0N       20140101003415005000010000 0000000000003164   
0601GEA0N       20140101003425005000010000 0000000000003167   
0601GEA0N       20140101003435005000010000 0000000000003169   
0601GEA0N       20140101003445005000010000 0000000000003171   
0601GEA0N       20140101003455005000010000 0000000000003173   
0601GEA0N       20140101003465005000010000 0000000000003176   
0601GEA0N       20140101003475005000010000 0000000000003178   
0601GEA0N       20140101003485005000010000 0000000000003180   
0601GEA0N       20140101003495005000010000 0000000000003183   
0601GEA0N       20140101003505005000010000 0000000000003185   
0601GEA0N       20140101003515005000010000 0000000000003187   
0601GEA0N       20140101003525005000010000 0000000000003189   
0601GEA0N       20140101003535005000010000 0000000000003191   
0601GEA0N       20140101003545005000010000 0000000000003194   
0601GEA0N       20140101003555005000010000 0000000000003196   
0601GEA0N       20140101003565005000010000 0000000000003198   
0601GEA0N       20140101003575005000010000 0000000000003200   
0601GEA0N       20140101003585005000010000 0000000000003202   
0601GEA0N       20140101003595005000010000 0000000000003204   
0601GEA0N       20140101003605005000010000 0000000000003207   
0601GEA0N       20140101003615005000010000 0000000000003208   
0601GEA0N       20140101003625005000010000 0000000000003211   
0601GEA0N       20140101003635005000010000 0000000000003213   
0601GEA0N       20140101003645005000010000 0000000000003215   
0601GEA0N       20140101003655005000010000 0000000000003217   
0601GEA0N       20140101003665005000010000 0000000000003219   
0601GEA0N       20140101003675005000010000 0000000000003221   
0601GEA0N       20140101003685005000010000 0000000000003223   
0601GEA0N       20140101003695005000010000 0000000000003225   
0601GEA0N       20140101003705005000010000 0000000000003227   
0601GEA0N       20140101003715005000010000 0000000000003229   
0601GEA0N       20140101003725005000010000 0000000000003231   
0601GEA0N       20140101003735005000010000 0000000000003233   
0601GEA0N       20140101003745005000010000 0000000000003235   
0601GEA0N       20140101003755005000010000 0000000000003237   
0601GEA0N       20140101003765005000010000 0000000000003239   
0601GEA0N       20140101003775005000010000 0000000000003241   
0601GEA0N       20140101003785005000010000 0000000000003243   
0601GEA0N       20140101003795005000010000 0000000000003245   
0601GEA0N       20140101003805005000010000 0000000000003247   
0601GEA0N       20140101003815005000010000 0000000000003249   
